idProducto,idCliente,idEmpleado,tipo,Monto,fecha,metodoPago
8376,3261,16,Venta,0,05/01/17,Efectivo
6902,3406,19,Venta,0,05/01/17,Tarjeta
8829,4174,18,Venta,0,05/01/17,Tarjeta
6721,440,21,Venta,0,05/01/17,Efectivo
6547,4338,19,Venta,0,05/01/17,Tarjeta
8586,900,16,Venta,0,05/01/17,Tarjeta
6880,1212,19,Venta,0,05/01/17,Efectivo
7412,1677,21,Venta,0,05/01/17,Tarjeta
8617,2859,20,Venta,0,05/01/17,Efectivo
7272,4262,21,Venta,0,05/01/17,Efectivo
6358,1077,15,Venta,0,05/01/17,Tarjeta
8801,3935,18,Venta,0,05/01/17,Tarjeta
7312,974,18,Venta,0,05/01/17,Tarjeta
6455,1402,18,Venta,0,05/01/17,Efectivo
7852,3393,19,Venta,0,05/01/17,Tarjeta
7568,1712,15,Venta,0,05/01/17,Efectivo
6964,3444,21,Venta,0,05/01/17,Efectivo
6615,4961,17,Venta,0,05/01/17,Efectivo
6360,4630,17,Venta,0,05/01/17,Tarjeta
7932,1333,19,Venta,0,05/01/17,Tarjeta
7533,769,18,Venta,0,05/01/17,Tarjeta
8860,2496,20,Venta,0,05/01/17,Tarjeta
7195,4006,21,Venta,0,05/01/17,Tarjeta
7832,1946,18,Venta,0,05/01/17,Efectivo
7061,3663,18,Venta,0,05/01/17,Tarjeta
8871,1008,16,Venta,0,05/01/17,Tarjeta
7737,519,21,Venta,0,05/01/17,Tarjeta
6309,628,21,Venta,0,05/01/17,Efectivo
8260,2091,18,Venta,0,05/01/17,Efectivo
8379,2706,19,Venta,0,05/01/17,Efectivo
7624,493,15,Venta,0,05/01/17,Tarjeta
7141,97,15,Venta,0,05/01/17,Efectivo
8121,4939,18,Venta,0,05/01/17,Tarjeta
7056,291,18,Venta,0,05/01/17,Tarjeta
7896,3369,21,Venta,0,05/01/17,Tarjeta
8842,3925,17,Venta,0,05/01/17,Tarjeta
7819,1521,18,Venta,0,05/01/17,Tarjeta
7855,1973,15,Venta,0,05/01/17,Efectivo
7132,4538,19,Venta,0,05/01/17,Tarjeta
7293,3366,16,Venta,0,05/01/17,Efectivo
7142,2236,21,Venta,0,05/01/17,Tarjeta
7484,1665,16,Venta,0,05/01/17,Efectivo
6618,4248,21,Venta,0,05/01/17,Efectivo
6527,3355,17,Venta,0,05/01/17,Tarjeta
7970,4111,20,Venta,0,05/01/17,Tarjeta
6212,3888,18,Venta,0,05/01/17,Efectivo
8369,3266,15,Venta,0,05/01/17,Tarjeta
7057,89,17,Venta,0,05/01/17,Efectivo
6106,4672,18,Venta,0,05/01/17,Tarjeta
8305,3722,17,Venta,0,05/01/17,Tarjeta
7591,3882,15,Venta,0,05/01/17,Tarjeta
7943,2122,15,Venta,0,05/01/17,Tarjeta
6276,3420,15,Venta,0,05/01/17,Tarjeta
7518,4948,17,Venta,0,05/01/17,Tarjeta
8089,485,20,Venta,0,05/01/17,Tarjeta
7120,552,20,Venta,0,05/01/17,Tarjeta
8558,2724,15,Venta,0,05/01/17,Tarjeta
7439,171,20,Venta,0,05/01/17,Efectivo
7842,1324,15,Venta,0,05/01/17,Efectivo
6989,2299,21,Venta,0,05/01/17,Efectivo
8290,2193,20,Venta,0,05/01/17,Tarjeta
7019,1076,19,Venta,0,05/01/17,Tarjeta
8424,915,15,Venta,0,05/01/17,Efectivo
8529,2864,19,Venta,0,05/01/17,Efectivo
8515,594,19,Venta,0,05/01/17,Tarjeta
6906,3563,18,Venta,0,05/01/17,Tarjeta
8970,2327,20,Venta,0,05/01/17,Efectivo
8263,296,16,Venta,0,05/01/17,Tarjeta
7974,3660,15,Venta,0,05/01/17,Tarjeta
7506,2401,16,Venta,0,05/01/17,Tarjeta
8079,4933,17,Venta,0,05/01/17,Efectivo
8133,150,19,Venta,0,05/01/17,Efectivo
6381,604,19,Venta,0,05/01/17,Efectivo
7393,4743,20,Venta,0,05/01/17,Tarjeta
6837,3533,17,Venta,0,05/01/17,Efectivo
7045,961,19,Venta,0,05/01/17,Efectivo
6919,2387,15,Venta,0,05/01/17,Tarjeta
6087,3410,21,Venta,0,05/01/17,Tarjeta
7009,1371,20,Venta,0,05/01/17,Efectivo
6628,1329,20,Venta,0,05/01/17,Tarjeta
6982,3049,16,Venta,0,05/01/17,Efectivo
7004,2739,19,Venta,0,05/01/17,Efectivo
6910,1240,21,Venta,0,05/01/17,Efectivo
7096,2382,16,Venta,0,05/01/17,Tarjeta
8444,1927,19,Venta,0,05/01/17,Efectivo
6516,1019,15,Venta,0,05/01/17,Efectivo
8333,3490,17,Venta,0,05/01/17,Efectivo
6369,4243,17,Venta,0,05/01/17,Tarjeta
7897,4089,19,Venta,0,05/01/17,Efectivo
6819,3279,18,Venta,0,05/01/17,Tarjeta
8881,2132,17,Venta,0,05/01/17,Efectivo
6299,3321,20,Venta,0,05/01/17,Tarjeta
6980,4085,18,Venta,0,05/01/17,Efectivo
7894,4615,15,Venta,0,05/01/17,Tarjeta
8270,4298,16,Venta,0,05/01/17,Efectivo
7257,2753,17,Venta,0,05/01/17,Tarjeta
8218,4573,15,Venta,0,05/01/17,Efectivo
6223,596,19,Venta,0,05/01/17,Efectivo
8383,572,17,Venta,0,05/01/17,Efectivo
6389,2699,15,Venta,0,05/01/17,Tarjeta
6584,2696,16,Venta,0,05/01/17,Tarjeta
8074,551,17,Venta,0,05/01/17,Tarjeta
6171,4440,19,Venta,0,05/01/17,Tarjeta
8664,1556,18,Venta,0,05/01/17,Tarjeta
7995,3386,16,Venta,0,05/01/17,Tarjeta
6965,4060,19,Venta,0,05/01/17,Tarjeta
6420,2642,15,Venta,0,05/01/17,Tarjeta
7555,238,15,Venta,0,05/01/17,Tarjeta
6498,1122,16,Venta,0,05/01/17,Tarjeta
7523,1321,19,Venta,0,05/01/17,Efectivo
6859,3107,16,Venta,0,05/01/17,Efectivo
6339,1375,16,Venta,0,05/01/17,Efectivo
8359,2745,16,Venta,0,05/01/17,Efectivo
7070,4836,15,Venta,0,05/01/17,Efectivo
8701,2735,18,Venta,0,05/01/17,Efectivo
7191,1204,16,Venta,0,05/01/17,Efectivo
7453,3126,16,Venta,0,05/01/17,Tarjeta
6517,432,15,Venta,0,05/01/17,Efectivo
8448,1877,21,Venta,0,05/01/17,Efectivo
7461,2331,17,Venta,0,05/01/17,Tarjeta
6936,1951,16,Venta,0,05/01/17,Tarjeta
7823,1024,16,Venta,0,05/01/17,Efectivo
